ICD-10,Lab_Item,Original_ICD_Range
A000,Stool culture for Vibrio cholerae,A000–A009
A000,Vibrio cholerae O1/O139 antigen test,A000–A009
A000,Vibrio cholerae DNA detection by NAAT,A000–A009
A001,Stool culture for Vibrio cholerae,A000–A009
A001,Vibrio cholerae O1/O139 antigen test,A000–A009
A001,Vibrio cholerae DNA detection by NAAT,A000–A009
A009,Stool culture for Vibrio cholerae,A000–A009
A009,Vibrio cholerae O1/O139 antigen test,A000–A009
A009,Vibrio cholerae DNA detection by NAAT,A000–A009
A010,Blood culture for Salmonella Typhi/Paratyphi,A010–A014
A010,Stool culture,A010–A014
A010,Bone marrow culture if indicated,A010–A014
A011,Blood culture for Salmonella Typhi/Paratyphi,A010–A014
A011,Stool culture,A010–A014
A011,Bone marrow culture if indicated,A010–A014
A012,Blood culture for Salmonella Typhi/Paratyphi,A010–A014
A012,Stool culture,A010–A014
A012,Bone marrow culture if indicated,A010–A014
A013,Blood culture for Salmonella Typhi/Paratyphi,A010–A014
A013,Stool culture,A010–A014
A013,Bone marrow culture if indicated,A010–A014
A014,Blood culture for Salmonella Typhi/Paratyphi,A010–A014
A014,Stool culture,A010–A014
A014,Bone marrow culture if indicated,A010–A014
A020,Stool culture for Salmonella spp.,A020–A029
A020,Blood culture if sepsis/systemic infection suspected,A020–A029
A021,Stool culture for Salmonella spp.,A020–A029
A021,Blood culture if sepsis/systemic infection suspected,A020–A029
A022,Stool culture for Salmonella spp.,A020–A029
A022,Blood culture if sepsis/systemic infection suspected,A020–A029
A028,Stool culture for Salmonella spp.,A020–A029
A028,Blood culture if sepsis/systemic infection suspected,A020–A029
A029,Stool culture for Salmonella spp.,A020–A029
A029,Blood culture if sepsis/systemic infection suspected,A020–A029
A030,Stool culture for Shigella spp.,A030–A039
A030,Shigella DNA detection by NAAT,A030–A039
A031,Stool culture for Shigella spp.,A030–A039
A031,Shigella DNA detection by NAAT,A030–A039
A032,Stool culture for Shigella spp.,A030–A039
A032,Shigella DNA detection by NAAT,A030–A039
A033,Stool culture for Shigella spp.,A030–A039
